Track,Artist,Album,AddedDate
"Atemlos durch die Nacht","Helene Fischer ","Farbenspiel","2015-01-21T07:54:36Z"
"I sing a Liad für di","Andreas Gabalier ","Herzwerk (Geschenkedition)","2015-01-21T07:55:02Z"
"Der Kommissar","Falco ","Vienna Greatest Hits","2015-01-21T12:45:17Z"
"...Baby One More Time","Britney Spears ","...Baby One More Time (Digital Deluxe Version)","2015-01-21T12:45:54Z"
"Oops!...I Did It Again","Britney Spears ","Oops! I Did It Again - The Best Of Britney Spears","2015-01-21T12:46:11Z"
"Toxic","Britney Spears ","Toxic","2015-01-21T12:46:40Z"
"Dragostea Din Tei - Original Romanian Version","O-Zone ","Time 25th Anniversary","2015-01-21T12:47:13Z"
"Zuckerpuppen","Andreas Gabalier ","Home Sweet Home","2015-01-21T12:51:24Z"
"Sandstorm","Darude ","Before the Storm, Special Edition","2015-01-21T12:52:52Z"
"Never Gonna Give You Up","Rick Astley ","The Best Of","2015-01-21T12:53:37Z"
"Mamma Mia","ABBA ","Abba","2015-01-21T12:53:50Z"
"Denkmal","Wir Sind Helden ","Wir Sind Helden Ep","2015-01-21T12:54:38Z"
"Everybody (Backstreet's Back) - Extended Version","Backstreet Boys ","Backstreet Boys","2015-01-21T12:54:54Z"
"Griechischer Wein","Udo Jürgens ","Zeig mir den Platz an der Sonne","2015-01-21T12:58:34Z"
"TiK ToK","Kesha ","Animal","2015-01-21T12:59:47Z"
"All About Us","t.A.T.u. ","Dangerous and Moving (International Version)","2015-01-21T13:00:55Z"
"Wannabe - Radio Edit","Spice Girls ","Spice","2015-01-21T13:01:07Z"
"Blue (Da Ba Dee)","Eiffel 65 ","Europop","2015-01-21T13:04:45Z"
"Barbie Girl","Aqua ","Pop Party (International Version)","2015-01-21T13:04:56Z"
"Durch den Monsun","Tokio Hotel ","Best Of (German Version)","2015-01-28T22:15:57Z"
"Baby","Justin Bieber Ludacris ","My Worlds (International Version)","2015-01-31T18:45:16Z"
"Scatman (Ski-Ba-Bop-Ba-Dop-Bop) - Basic Radio","Scatman John ","Pure... 90s Dance Party","2015-02-09T08:35:25Z"
"Mambo No. 5 (A Little Bit of...)","Lou Bega ","King of Mambo","2015-02-07T14:52:32Z"
"Ein bisschen Spaß muss sein","Roberto Blanco ","Der Puppenspieler von Mexico / Das Beste von Roberto Blanco","2015-02-07T15:25:41Z"
"Arschficksong","Sido ","Aggro Ansage Nr.1 EP","2016-10-22T23:03:52Z"
"Die Karawane Zieht Weiter...Dä Sultan Hät Doosch! - Sandstrand Mix","Höhner ","Da Simmer Dabei... Die Grössten Partyhits! (Gold Edition)","2015-02-07T15:32:11Z"
"Schnappi - Album Version Iris","Schnappi ","Best Of Radio Teddy Hits - das Beste aus 5 Jahren (Online Version)","2015-02-07T15:37:51Z"
"Hawaii Toast Song","Alexander Marcus ","Mega","2015-02-07T15:48:17Z"
"Cry Me a River","Justin Timberlake ","Justified","2015-02-07T16:00:12Z"
"Ice Ice Baby","Vanilla Ice ","Vanilla Ice Is Back! - Hip Hop Classics","2015-02-07T16:05:38Z"
"Waka Waka (This Time for Africa) (The Official 2010 FIFA World Cup (TM) Song)","Shakira Freshlyground ","Waka Waka (This Time for Africa) (The Official 2010 FIFA World Cup (TM) Song)","2015-02-08T14:33:56Z"
"Whenever, Wherever","Shakira ","Laundry Service","2015-02-08T16:01:38Z"
"Anaconda","Nicki Minaj ","The Pinkprint (International Deluxe Explicit)","2015-02-20T11:25:21Z"
"Bang Bang","Jessie J Ariana Grande Nicki Minaj ","Sweet Talker (Deluxe Version)","2015-02-26T22:34:28Z"
"Ich Lebe","Christina Stürmer ","Lautlos","2015-02-28T15:44:19Z"
"Fighter","Christina Aguilera ","Stripped","2015-02-28T15:44:32Z"
"You're My Heart, You're My Soul - Remastered","Modern Talking ","30","2015-03-04T12:02:08Z"
"99 Luftballons","Nena ","99 Luftballons","2015-03-04T12:03:28Z"
"Rhythm Is A Dancer","SNAP! ","The Madman's Return","2015-03-07T15:32:54Z"
"Mister Vain","Gliese ","Best of Dance Disco Music Hits 80's 90's. La Mejor Música Dance y Disco de los 80 90","2015-03-07T15:33:44Z"
"Macarena","Los Del Rio ","Fiesta Macarena","2015-03-08T17:11:30Z"
"Survivor","Destiny's Child ","Survivor","2015-03-08T17:42:15Z"
"Ieva's Polka (Ievan Polkka) - Original Acapella","Loituma ","Ievan's Polka","2015-03-08T18:33:51Z"
"Mahatma","Bernd Stelter ","Ein 1/4 Jahrhundert","2015-03-23T01:21:34Z"
"U Can't Touch This","MC Hammer ","Please Hammer Don't Hurt 'Em","2015-04-30T00:55:22Z"
"Satellite","Lena ","My Cassette Player","2015-05-25T20:47:50Z"
"Maschen-Draht-Zaun (Radio Edit)","Stefan Raab ","Maschen-Draht-Zaun","2015-05-25T20:48:08Z"
"Sexy Eis","Bürger Lars Dietrich ","Dicke Dinger","2015-05-25T20:49:22Z"
